DateTime,Uptime(ms),Voltage(V),Current(A),Power(W)
2026-01-06 20:33:06,timestamp,voltage,current,power
2026-01-06 20:33:29,24937,230.64,0.17,39.44
2026-01-06 20:33:39,35119,230.94,0.28,64.70
2026-01-06 20:33:49,45303,233.89,0.32,75.70
2026-01-06 20:34:00,55486,235.51,0.31,73.77
2026-01-06 20:34:10,65663,236.59,0.31,74.49
2026-01-06 20:34:20,75849,232.87,0.32,74.14
2026-01-06 20:34:30,86032,233.29,0.27,63.40
2026-01-06 20:34:40,96210,230.45,0.28,63.79
2026-01-06 20:34:50,106393,234.93,0.28,65.31
2026-01-06 20:35:01,116573,232.45,0.27,62.58
2026-01-06 20:35:11,126757,232.95,0.27,62.52
2026-01-06 20:35:21,136969,234.51,0.17,40.45
2026-01-06 20:35:33,149429,223.20,0.17,38.94
2026-01-06 20:35:44,159638,232.85,0.17,38.55
2026-01-06 20:36:04,180113,230.81,0.17,38.30
2026-01-06 20:36:14,190296,229.45,0.26,59.36
2026-01-06 20:36:25,200479,232.08,0.31,71.04
2026-01-06 21:07:40,24790,0.00,0.16,0.00
2026-01-06 21:07:50,34955,0.00,0.15,0.00
2026-01-06 21:08:00,45126,0.00,0.16,0.00
2026-01-06 21:08:10,55296,0.00,0.16,0.00
2026-01-06 21:08:20,65469,0.00,0.15,0.00
2026-01-06 21:08:31,75646,0.00,0.17,0.00
2026-01-06 21:08:41,85818,0.00,0.16,0.00
2026-01-06 21:08:51,95993,0.00,0.17,0.00
2026-01-06 21:09:01,106162,0.00,0.17,0.00
2026-01-06 21:09:11,116340,0.00,0.17,0.00
2026-01-06 21:09:21,126515,0.00,0.17,0.00
2026-01-06 21:09:32,136689,0.00,0.17,0.00
2026-01-06 21:09:42,146865,0.00,0.16,0.00
2026-01-06 21:09:52,157038,0.00,0.17,0.00
2026-01-06 21:10:02,167210,0.00,0.16,0.00
2026-01-06 21:10:12,177388,0.00,0.15,0.00
2026-01-06 21:10:22,187558,0.00,0.15,0.00
2026-01-06 21:10:33,197728,0.00,0.17,0.00
2026-01-06 21:10:43,207901,0.00,0.16,0.00
2026-01-06 21:10:53,218073,0.00,0.18,0.00
2026-01-06 21:11:03,228247,0.00,0.16,0.00
2026-01-06 21:11:13,238423,0.00,0.15,0.00
2026-01-06 21:11:23,248594,0.00,0.16,0.00
2026-01-06 21:11:34,258764,0.00,0.16,0.00
2026-01-06 21:11:44,268940,0.00,0.15,0.00
2026-01-06 21:11:54,279112,0.00,0.17,0.00
2026-01-06 21:12:04,289286,0.00,0.16,0.00
2026-01-06 21:12:14,299459,0.00,0.16,0.00
2026-01-06 21:12:24,309629,0.00,0.17,0.00
2026-01-06 21:12:35,319811,0.00,0.15,0.00
2026-01-06 21:12:45,329983,0.00,0.16,0.00
2026-01-06 21:12:55,340155,0.00,0.17,0.00
2026-01-06 21:13:05,350332,0.00,0.16,0.00
2026-01-06 21:13:15,360504,0.00,0.16,0.00
2026-01-06 21:13:26,370681,0.00,0.17,0.00
2026-01-06 21:13:36,380851,0.00,0.16,0.00
2026-01-06 21:13:46,391016,0.00,0.17,0.00
2026-01-06 21:13:56,401188,0.00,0.18,0.00
2026-01-06 21:14:06,411359,0.00,0.16,0.00
2026-01-06 21:14:16,421530,0.00,0.16,0.00
2026-01-06 21:14:27,431698,0.00,0.17,0.00
2026-01-06 21:14:37,441866,0.00,0.16,0.00
2026-01-06 21:14:47,452032,0.00,0.16,0.00
2026-01-06 21:14:57,462207,0.00,0.18,0.00
2026-01-06 21:15:07,472380,0.00,0.16,0.00
2026-01-06 21:15:17,482550,0.00,0.17,0.00
2026-01-06 21:15:28,492721,0.00,0.17,0.00
2026-01-06 21:15:38,502890,0.00,0.18,0.00
2026-01-06 21:15:48,513061,0.00,0.18,0.00
2026-01-06 21:15:58,523234,0.00,0.17,0.00
2026-01-06 21:16:08,533401,0.00,0.17,0.00
2026-01-06 21:16:18,543570,0.00,0.16,0.00
2026-01-06 21:16:29,553735,0.00,0.17,0.00
2026-01-06 21:16:39,563908,0.00,0.17,0.00
2026-01-06 21:16:49,574081,0.00,0.16,0.00
2026-01-06 21:16:59,584251,0.00,0.17,0.00
2026-01-06 21:17:09,594422,0.00,0.17,0.00
2026-01-06 21:17:19,604594,0.00,0.17,0.00
2026-01-06 21:17:30,614765,0.00,0.18,0.00
2026-01-06 21:17:40,624935,0.00,0.17,0.00
2026-01-06 21:17:50,635103,0.00,0.16,0.00
2026-01-06 21:18:00,645272,0.00,0.17,0.00
2026-01-06 21:18:10,655449,0.00,0.17,0.00
2026-01-06 21:18:21,665625,0.00,0.17,0.00
2026-01-06 21:18:31,675795,0.00,0.17,0.00
2026-01-06 21:18:41,685970,0.00,0.16,0.00
2026-01-06 21:18:51,696142,0.00,0.16,0.00
2026-01-06 21:19:01,706315,0.00,0.18,0.00
2026-01-06 21:19:11,716487,0.00,0.16,0.00
2026-01-06 21:19:22,726658,0.00,0.19,0.00
2026-01-06 21:19:32,736831,0.00,0.18,0.00
2026-01-06 21:19:42,747006,0.00,0.17,0.00
2026-01-06 21:19:52,757181,0.00,0.18,0.00
2026-01-06 21:20:02,767356,0.00,0.19,0.00
