DateTime,Uptime(ms),Voltage(V),Current(A),Power(W)
2026-01-06 20:33:06,timestamp,voltage,current,power
2026-01-06 20:33:29,24937,230.64,0.17,39.44
2026-01-06 20:33:39,35119,230.94,0.28,64.70
2026-01-06 20:33:49,45303,233.89,0.32,75.70
2026-01-06 20:34:00,55486,235.51,0.31,73.77
2026-01-06 20:34:10,65663,236.59,0.31,74.49
2026-01-06 20:34:20,75849,232.87,0.32,74.14
2026-01-06 20:34:30,86032,233.29,0.27,63.40
2026-01-06 20:34:40,96210,230.45,0.28,63.79
2026-01-06 20:34:50,106393,234.93,0.28,65.31
2026-01-06 20:35:01,116573,232.45,0.27,62.58
2026-01-06 20:35:11,126757,232.95,0.27,62.52
2026-01-06 20:35:21,136969,234.51,0.17,40.45
2026-01-06 20:35:33,149429,223.20,0.17,38.94
2026-01-06 20:35:44,159638,232.85,0.17,38.55
2026-01-06 20:36:04,180113,230.81,0.17,38.30
2026-01-06 20:36:14,190296,229.45,0.26,59.36
2026-01-06 20:36:25,200479,232.08,0.31,71.04
