DateTime,Uptime(ms),SensorRead(us),BlynkTransmit(ms),TotalLatency(ms)
2026-01-06 21:07:17,timestamp,sensorReadUs,blynkTransmitMs,totalLatencyMs
2026-01-06 21:07:40,24789,1856233,140,1996
2026-01-06 21:07:42,26823,1855998,140,1995
2026-01-06 21:07:44,28853,1852731,140,1992
2026-01-06 21:07:46,30887,1857711,139,1996
2026-01-06 21:07:48,32922,1857535,140,1997
2026-01-06 21:07:50,34954,1854527,140,1994
2026-01-06 21:07:52,36988,1855998,140,1995
2026-01-06 21:07:54,39023,1857452,140,1997
2026-01-06 21:07:56,41057,1856388,140,1996
2026-01-06 21:07:58,43091,1856710,140,1996
2026-01-06 21:08:00,45125,1856674,140,1996
2026-01-06 21:08:02,47160,1856165,141,1997
2026-01-06 21:08:04,49196,1857442,140,1997
2026-01-06 21:08:06,51228,1854463,140,1994
2026-01-06 21:08:08,53261,1855492,140,1995
2026-01-06 21:08:10,55295,1855518,141,1996
2026-01-06 21:08:12,57329,1855990,140,1995
2026-01-06 21:08:14,59364,1856645,141,1997
2026-01-06 21:08:16,61398,1855661,141,1996
2026-01-06 21:08:18,63433,1857496,140,1997
2026-01-06 21:08:20,65468,1857496,140,1997
2026-01-06 21:08:22,67504,1858119,140,1998
2026-01-06 21:08:24,69536,1854545,139,1993
2026-01-06 21:08:26,71572,1857536,141,1998
2026-01-06 21:08:28,73607,1857650,140,1997
2026-01-06 21:08:30,75645,1857680,142,1999
2026-01-06 21:08:33,77680,1856327,140,1996
2026-01-06 21:08:35,79717,1859515,140,1999
2026-01-06 21:08:37,81750,1856515,139,1995
2026-01-06 21:08:39,83784,1856501,140,1996
2026-01-06 21:08:41,85817,1855525,140,1995
2026-01-06 21:08:43,87852,1857088,140,1997
2026-01-06 21:08:45,89885,1855743,140,1995
2026-01-06 21:08:47,91919,1856698,140,1996
2026-01-06 21:08:49,93955,1858574,140,1998
2026-01-06 21:08:51,95992,1858486,141,1999
2026-01-06 21:08:53,98025,1855132,140,1995
2026-01-06 21:08:55,100059,1856526,140,1996
2026-01-06 21:08:57,102092,1855479,140,1995
2026-01-06 21:08:59,104126,1856661,140,1996
2026-01-06 21:09:01,106161,1857726,140,1997
2026-01-06 21:09:03,108197,1857311,140,1997
2026-01-06 21:09:05,110234,1858465,140,1998
2026-01-06 21:09:07,112271,1857502,141,1998
2026-01-06 21:09:09,114305,1856649,140,1996
2026-01-06 21:09:11,116339,1856491,139,1995
2026-01-06 21:09:13,118373,1856166,140,1996
2026-01-06 21:09:15,120409,1857589,141,1998
2026-01-06 21:09:17,122446,1858709,140,1998
2026-01-06 21:09:19,124478,1854702,140,1994
2026-01-06 21:09:21,126514,1857548,141,1998
2026-01-06 21:09:23,128549,1856135,140,1996
2026-01-06 21:09:25,130583,1856505,140,1996
2026-01-06 21:09:27,132617,1855486,140,1995
2026-01-06 21:09:30,134652,1856467,141,1997
2026-01-06 21:09:32,136688,1858794,140,1998
2026-01-06 21:09:34,138724,1857164,141,1998
2026-01-06 21:09:36,140759,1856686,140,1996
2026-01-06 21:09:38,142795,1858496,140,1998
2026-01-06 21:09:40,144829,1855537,141,1996
2026-01-06 21:09:42,146864,1857485,140,1997
2026-01-06 21:09:44,148900,1858129,140,1998
2026-01-06 21:09:46,150934,1856510,140,1996
2026-01-06 21:09:48,152967,1855630,140,1995
2026-01-06 21:09:50,155001,1854756,142,1996
2026-01-06 21:09:52,157037,1857571,141,1998
2026-01-06 21:09:54,159073,1857141,141,1998
2026-01-06 21:09:56,161107,1856521,140,1996
2026-01-06 21:09:58,163141,1856438,140,1996
2026-01-06 21:10:00,165175,1856492,140,1996
2026-01-06 21:10:02,167209,1855487,141,1996
2026-01-06 21:10:04,169245,1857274,141,1998
2026-01-06 21:10:06,171282,1857700,142,1999
2026-01-06 21:10:08,173318,1857647,141,1998
2026-01-06 21:10:10,175353,1856488,140,1996
2026-01-06 21:10:12,177387,1856548,140,1996
2026-01-06 21:10:14,179421,1856077,140,1996
2026-01-06 21:10:16,181454,1855326,140,1995
2026-01-06 21:10:18,183487,1855459,140,1995
2026-01-06 21:10:20,185522,1856636,141,1997
2026-01-06 21:10:22,187557,1856705,141,1997
2026-01-06 21:10:24,189592,1856208,140,1996
2026-01-06 21:10:26,191627,1856480,141,1997
2026-01-06 21:10:29,193660,1855459,140,1995
2026-01-06 21:10:31,195693,1855540,140,1995
2026-01-06 21:10:33,197728,1856512,141,1997
2026-01-06 21:10:35,199761,1855904,140,1995
2026-01-06 21:10:37,201796,1856733,141,1997
2026-01-06 21:10:39,203831,1857681,140,1997
2026-01-06 21:10:41,205866,1857479,140,1997
2026-01-06 21:10:43,207900,1856521,140,1996
2026-01-06 21:10:45,209934,1856092,140,1996
2026-01-06 21:10:47,211968,1856382,140,1996
2026-01-06 21:10:49,214002,1856487,139,1995
2026-01-06 21:10:51,216036,1856502,140,1996
2026-01-06 21:10:53,218072,1857708,140,1997
2026-01-06 21:10:55,220108,1857037,140,1997
2026-01-06 21:10:57,222143,1856501,140,1996
2026-01-06 21:10:59,224179,1857503,140,1997
2026-01-06 21:11:01,226212,1855492,140,1995
2026-01-06 21:11:03,228246,1856462,140,1996
2026-01-06 21:11:05,230281,1857015,140,1997
2026-01-06 21:11:07,232316,1856721,140,1996
2026-01-06 21:11:09,234352,1857690,141,1998
2026-01-06 21:11:11,236387,1857581,140,1997
2026-01-06 21:11:13,238422,1855548,142,1997
2026-01-06 21:11:15,240457,1857084,140,1997
2026-01-06 21:11:17,242491,1856490,140,1996
2026-01-06 21:11:19,244525,1856527,140,1996
2026-01-06 21:11:21,246559,1856608,140,1996
2026-01-06 21:11:23,248593,1856662,140,1996
2026-01-06 21:11:25,250629,1857308,140,1997
2026-01-06 21:11:28,252664,1857540,140,1997
2026-01-06 21:11:30,254697,1855520,140,1995
2026-01-06 21:11:32,256731,1856481,140,1996
2026-01-06 21:11:34,258763,1854484,140,1994
2026-01-06 21:11:36,260797,1855121,140,1995
2026-01-06 21:11:38,262831,1856681,140,1996
2026-01-06 21:11:40,264867,1857700,140,1997
2026-01-06 21:11:42,266905,1859566,141,2000
2026-01-06 21:11:44,268939,1856466,140,1996
2026-01-06 21:11:46,270974,1856056,141,1997
2026-01-06 21:11:48,273008,1856519,140,1996
2026-01-06 21:11:50,275041,1855508,140,1995
2026-01-06 21:11:52,277076,1857306,140,1997
2026-01-06 21:11:54,279111,1856757,140,1996
2026-01-06 21:11:56,281147,1857288,141,1998
2026-01-06 21:11:58,283182,1857548,140,1997
2026-01-06 21:12:00,285217,1857483,139,1996
2026-01-06 21:12:02,287251,1856529,140,1996
2026-01-06 21:12:04,289285,1856470,140,1996
2026-01-06 21:12:06,291319,1856127,139,1995
2026-01-06 21:12:08,293353,1856671,140,1996
2026-01-06 21:12:10,295387,1856660,140,1996
2026-01-06 21:12:12,297423,1857691,141,1998
2026-01-06 21:12:14,299458,1856460,141,1997
2026-01-06 21:12:16,301493,1856094,141,1997
2026-01-06 21:12:18,303527,1856400,140,1996
2026-01-06 21:12:20,305561,1856505,140,1996
2026-01-06 21:12:22,307594,1855544,140,1995
2026-01-06 21:12:24,309628,1856690,140,1996
2026-01-06 21:12:27,311666,1857353,142,1999
2026-01-06 21:12:29,313702,1857647,141,1998
2026-01-06 21:12:31,315738,1857479,140,1997
2026-01-06 21:12:33,317775,1858470,141,1999
2026-01-06 21:12:35,319810,1857502,140,1997
2026-01-06 21:12:37,321844,1856135,140,1996
2026-01-06 21:12:39,323879,1856548,141,1997
2026-01-06 21:12:41,325913,1856583,140,1996
2026-01-06 21:12:43,327948,1856677,141,1997
2026-01-06 21:12:45,329982,1856726,140,1996
2026-01-06 21:12:47,332017,1856128,141,1997
2026-01-06 21:12:49,334052,1857477,140,1997
2026-01-06 21:12:51,336085,1855528,140,1995
2026-01-06 21:12:53,338119,1856527,140,1996
2026-01-06 21:12:55,340154,1857466,140,1997
2026-01-06 21:12:57,342189,1856273,141,1997
2026-01-06 21:12:59,344225,1857715,140,1997
2026-01-06 21:13:01,346260,1857544,140,1997
2026-01-06 21:13:03,348295,1856466,140,1996
2026-01-06 21:13:05,350331,1857473,141,1998
2026-01-06 21:13:07,352365,1856085,139,1995
2026-01-06 21:13:09,354400,1856494,141,1997
2026-01-06 21:13:11,356434,1855788,141,1996
2026-01-06 21:13:13,358468,1856685,140,1996
2026-01-06 21:13:15,360503,1856696,141,1997
2026-01-06 21:13:17,362541,1859180,141,2000
2026-01-06 21:13:19,364578,1858481,140,1998
